Local Authority,Ward,Name of Candidate,Sex,Party,Result
"",Harare Municipality,25,Mukunguka Luckson,M,MDC-T,"4,67"
"",Harare Municipality,25,Sungano Nomatter,F,ZANU-PF,"1,90"
"",,,,,,
"",Harare Municipality,26,Zuze Special,M,MDC-T,"4,85"
"",Harare Municipality,26,Mudzongo Nelson Farukayi,M,ZANU-PF,"2,06"
"",Harare Municipality,26,Nyamuzonda Deborah,F,MDC,50
"",,,,,,
"",Harare Municipality,27,Gomba Herbert,M,MDC-T,"4,08"
"",Harare Municipality,27,Machona Stanley Tongoona,M,ZANU-PF,"1,19"
"",Harare Municipality,27,Kumbula Kelvin,M,INDEPENDENT,24
"",,,,,,
"",Harare Municipality,28,Chikombo Wellington,M,MDC-T,"2,83"
"",Harare Municipality,28,Kunaka Caesar,M,ZANU-PF,80
"",Harare Municipality,28,Sithole Tauya,M,MDC,24
"",,,,,,
"",Harare Municipality,29,Chineka Thomas,M,MDC-T,"2,13"
"",Harare Municipality,29,Matafi Alexander,M,ZANU-PF,63
"",Harare Municipality,29,Marodza Roster,F,MDC,17
"",Harare Municipality,29,Guzura Johnsai,M,MKD,2
"",,,,,,
"",Harare Municipality,30,Muzanyi Farayi,M,MDC-T,"8,12"
"",Harare Municipality,30,Antoniao Rdeliah,F,ZANU-PF,"2,38"
"",Harare Municipality,30,Chaparika George,M,UMD,8
"",,,,,,
"",Harare Municipality,31,Chakeredza Tonderai,M,MDC-T,"3,54"
"",Harare Municipality,31,Mhike Doubt,M,ZANU-PF,"1,19"
"",Harare Municipality,31,Tandi Monica,F,MDC,25
"",Harare Municipality,31,Saurombe Joseph Tadzingwa,M,MKD,8
"",,,,,,
"",Harare Municipality,32,Madzokere Tungamirai,M,MDC-T,"4,66"
"",Harare Municipality,32,Chimatira Donald,M,ZANU-PF,"1,61"
"",Harare Municipality,32,Chakawarika Cecilia,F,MDC,44
"",Harare Municipality,32,Katare Matsanzurei,F,UMD,4
"",,,,,,
"",Harare Municipality,33,Chirombe Audrey Sydney,M,MDC-T,"7,28"
"",Harare Municipality,33,Chirenje Susan,F,ZANU-PF,"2,45"
"",Harare Municipality,33,Tsikwa Tendai,M,MDC,43
"",Harare Municipality,33,Malunga Magline,F,MCD,3
"",Harare Municipality,33,Tiki Barbara,F,UMD,2
"",,,,,,
"",Harare Municipality,34,Alisen Moffat,M,MDC-T,"2,38"
"",Harare Municipality,34,Mutero Clyde,M,ZANU-PF,84
"",Harare Municipality,34,Makunike Brighton Tawanda,M,MDC-N,21
"",Harare Municipality,34,Chiheya Wurayayi Grey,M,INDEPENDENT,6
"",,,,,,
"",Harare Municipality,35,Ncube Christine,F,ZANU-PF,"1,16"
"",Harare Municipality,35,Cedrick Benson,M,MDC,30
"",Harare Municipality,35,Nyamini Kizito Simbarashe,M,ZAPU,6
"",,,,,,
"",Harare Municipality,36,Gomba Loveness,F,MDC-T,"1,69"
"",Harare Municipality,36,Saleman Tatenda,M,ZANU-PF,99
"",Harare Municipality,36,Sayi Simango,M,MDC,18
"",Harare Municipality,36,Mapanda Kevin,M,ZAPU,8
"",,,,,,
"",Harare Municipality,37,Mangwiro Urayayi,M,MDC-T,"8,41"
"",Harare Municipality,37,Mudyiwa Kuchimani Kingston,M,ZANU-PF,"2,54"
"",Harare Municipality,37,Taunezvi Timothy,M,UDM,16
"",,,,,,
"",Harare Municipality,38,Janjazi Wilton,M,MDC-T,"3,74"
"",Harare Municipality,38,Kuzhazha Charles,M,ZANU-PF,"1,99"
"",Harare Municipality,38,Chitimbe-Muchairi Tongai,M,MDC,32
"",Harare Municipality,38,Tembedza Lawrence,M,UMD,2
"",,,,,,
"",Harare Municipality,39,Hadebe Gilbert T.,M,MDC-T,"2,63"
"",Harare Municipality,39,Daniel Lovemore,M,ZANU-PF,"1,19"
"",Harare Municipality,39,Ajida Omaki,M,UMD,19
"",,,,,,
"",Harare Municipality,40,Garachani Samuel,M,ZANU-PF,"4,37"
"",Harare Municipality,40,Karimakwenda Hermatt,M,MDC-T,"4,14"
"",Harare Municipality,40,Jojo John,M,MDC,55
"",Harare Municipality,40,Chidamba Chipo,F,UMD,14
"",Harare Municipality,40,Matarise Fortune,M,ZAPU,6
"",,,,,,
